Place_Id,Place_Name,Category,City,Combined_Features
1,Monumen Nasional,Budaya,Jakarta,monumen nasional budaya jakarta
2,Kota Tua,Budaya,Jakarta,kota tua budaya jakarta
3,Dunia Fantasi,Taman Hiburan,Jakarta,dunia fantasi taman hiburan jakarta
4,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,taman mini indonesia indah tmii taman hiburan jakarta
5,Atlantis Water Adventure,Taman Hiburan,Jakarta,atlantis water adventure taman hiburan jakarta
6,Taman Impian Jaya Ancol,Taman Hiburan,Jakarta,taman impian jaya ancol taman hiburan jakarta
7,Kebun Binatang Ragunan,Cagar Alam,Jakarta,kebun binatang ragunan cagar alam jakarta
8,Ocean Ecopark,Taman Hiburan,Jakarta,ocean ecopark taman hiburan jakarta
9,Pelabuhan Marina,Bahari,Jakarta,pelabuhan marina bahari jakarta
10,Pulau Tidung,Bahari,Jakarta,pulau tidung bahari jakarta
11,Pulau Bidadari,Bahari,Jakarta,pulau bidadari bahari jakarta
12,Pulau Pari,Bahari,Jakarta,pulau pari bahari jakarta
13,Pulau Pramuka,Bahari,Jakarta,pulau pramuka bahari jakarta
14,Pulau Pelangi,Bahari,Jakarta,pulau pelangi bahari jakarta
15,Pasar Seni,Pusat Perbelanjaan,Jakarta,pasar seni pusat perbelanjaan jakarta
16,Jembatan Kota Intan,Budaya,Jakarta,jembatan kota intan budaya jakarta
17,Museum Fatahillah,Budaya,Jakarta,museum fatahillah budaya jakarta
18,Museum Bank Indonesia,Budaya,Jakarta,museum bank indonesia budaya jakarta
19,Kidzania,Taman Hiburan,Jakarta,kidzania taman hiburan jakarta
20,Museum Taman Prasasti,Budaya,Jakarta,museum taman prasasti budaya jakarta
21,Museum Wayang,Budaya,Jakarta,museum wayang budaya jakarta
22,Masjid Istiqlal,Tempat Ibadah,Jakarta,masjid istiqlal tempat ibadah jakarta
23,Gereja Katedral,Tempat Ibadah,Jakarta,gereja katedral tempat ibadah jakarta
24,Museum Nasional,Budaya,Jakarta,museum nasional budaya jakarta
25,Pasar Tanah Abang,Pusat Perbelanjaan,Jakarta,pasar tanah abang pusat perbelanjaan jakarta
26,Pecinan Glodok,Pusat Perbelanjaan,Jakarta,pecinan glodok pusat perbelanjaan jakarta
27,Sea World,Taman Hiburan,Jakarta,sea world taman hiburan jakarta
28,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan,Jakarta,wisata agro edukatif istana susu cibugary taman hiburan jakarta
29,Wisata Kuliner Pecenongan,Pusat Perbelanjaan,Jakarta,wisata kuliner pecenongan pusat perbelanjaan jakarta
30,Taman Menteng,Taman Hiburan,Jakarta,taman menteng taman hiburan jakarta
31,Wisata Alam Mangrove Angke,Cagar Alam,Jakarta,wisata alam mangrove angke cagar alam jakarta
32,Setu Babakan,Budaya,Jakarta,setu babakan budaya jakarta
33,Taman Suropati,Taman Hiburan,Jakarta,taman suropati taman hiburan jakarta
34,Pasar Taman Puring,Pusat Perbelanjaan,Jakarta,pasar taman puring pusat perbelanjaan jakarta
35,Grand Indonesia Mall,Pusat Perbelanjaan,Jakarta,grand indonesia mall pusat perbelanjaan jakarta
36,Skyrink - Mall Taman Anggrek,Taman Hiburan,Jakarta,skyrink  mall taman anggrek taman hiburan jakarta
37,Bumi Perkemahan Cibubur,Taman Hiburan,Jakarta,bumi perkemahan cibubur taman hiburan jakarta
38,Istana Negara Republik Indonesia,Budaya,Jakarta,istana negara republik indonesia budaya jakarta
39,Museum Macan (Modern and Contemporary Art in Nusantara),Budaya,Jakarta,museum macan modern and contemporary art in nusantara budaya jakarta
40,Galeri Nasional Indonesia,Budaya,Jakarta,galeri nasional indonesia budaya jakarta
41,Museum Bahari Jakarta,Budaya,Jakarta,museum bahari jakarta budaya jakarta
42,Museum Seni Rupa dan Kramik,Budaya,Jakarta,museum seni rupa dan kramik budaya jakarta
43,The Escape Hunt,Taman Hiburan,Jakarta,the escape hunt taman hiburan jakarta
44,Monumen Selamat Datang,Budaya,Jakarta,monumen selamat datang budaya jakarta
45,Jakarta Aquarium dan Safari,Taman Hiburan,Jakarta,jakarta aquarium dan safari taman hiburan jakarta
46,Pulau Semak Daun,Bahari,Jakarta,pulau semak daun bahari jakarta
47,Taman Situ Lembang,Taman Hiburan,Jakarta,taman situ lembang taman hiburan jakarta
48,Taman Ismail Marzuki,Budaya,Jakarta,taman ismail marzuki budaya jakarta
49,Galeri Indonesia Kaya,Budaya,Jakarta,galeri indonesia kaya budaya jakarta
50,Museum Joang 45,Budaya,Jakarta,museum joang  budaya jakarta
51,Jakarta Planetarium,Taman Hiburan,Jakarta,jakarta planetarium taman hiburan jakarta
52,Kampung Cina,Budaya,Jakarta,kampung cina budaya jakarta
53,Rumah Sipitung,Budaya,Jakarta,rumah sipitung budaya jakarta
54,Taman Agrowisata Cilangkap,Taman Hiburan,Jakarta,taman agrowisata cilangkap taman hiburan jakarta
55,Klenteng Jin De Yuan,Tempat Ibadah,Jakarta,klenteng jin de yuan tempat ibadah jakarta
56,Pantai Ancol,Bahari,Jakarta,pantai ancol bahari jakarta
57,Taman Lapangan Banteng,Taman Hiburan,Jakarta,taman lapangan banteng taman hiburan jakarta
58,Taman Ayodya,Taman Hiburan,Jakarta,taman ayodya taman hiburan jakarta
59,Museum Sumpah Pemuda,Budaya,Jakarta,museum sumpah pemuda budaya jakarta
60,Museum Tekstil,Budaya,Jakarta,museum tekstil budaya jakarta
61,Tugu Proklamasi,Budaya,Jakarta,tugu proklamasi budaya jakarta
62,Taman Legenda Keong Emas,Taman Hiburan,Jakarta,taman legenda keong emas taman hiburan jakarta
63,Museum Kebangkitan Nasional,Budaya,Jakarta,museum kebangkitan nasional budaya jakarta
64,Museum Sasmita Loka Ahmad Yani,Budaya,Jakarta,museum sasmita loka ahmad yani budaya jakarta
65,Museum Basoeki Abdullah,Budaya,Jakarta,museum basoeki abdullah budaya jakarta
66,Museum Layang-layang,Budaya,Jakarta,museum layanglayang budaya jakarta
67,Margasatwa Muara Angke,Cagar Alam,Jakarta,margasatwa muara angke cagar alam jakarta
68,Pasar Petak Sembilan,Pusat Perbelanjaan,Jakarta,pasar petak sembilan pusat perbelanjaan jakarta
69,Freedom Library,Budaya,Jakarta,freedom library budaya jakarta
70,Perpustakaan Nasional,Budaya,Jakarta,perpustakaan nasional budaya jakarta
71,Cibubur Garden Diary (Cibugary),Cagar Alam,Jakarta,cibubur garden diary cibugary cagar alam jakarta
